hour_starts_at,consumption_kwh,consumption_unit_price_eur,consumption_cost_eur,production_kwh,production_unit_price_eur,production_profit_eur
2025-06-01T00:00:00.000+02:00,0.368,0.2667324,0.0981575232,0,0.2667324,0
2025-06-01T01:00:00.000+02:00,0.353,0.2507846,0.0885269638,0,0.2507846,0
2025-06-01T02:00:00.000+02:00,0.364,0.252406,0.091875784,0,0.252406,0
2025-06-01T03:00:00.000+02:00,0.359,0.2451944,0.0880247896,0,0.2451944,0
2025-06-01T04:00:00.000+02:00,0.366,0.2426897,0.0888244302,0,0.2426897,0
2025-06-01T05:00:00.000+02:00,0.347,0.233167,0.080908949,0,0.233167,0
2025-06-01T06:00:00.000+02:00,0.23,0.1929829,0.044386067,0,0.1929829,0
2025-06-01T07:00:00.000+02:00,0.036,0.1633984,0.0058823424,0.133,0.1633984,0.0217319872
2025-06-01T08:00:00.000+02:00,0.036,0.1505724,0.0054206064,0.483,0.1505724,0.0727264692
2025-06-01T09:00:00.000+02:00,0.004,0.1476563,0.0005906252,0.843,0.1476563,0.1244742609
2025-06-01T10:00:00.000+02:00,0.004,0.1469424,0.0005877696,1.599,0.1469424,0.2349608976
2025-06-01T11:00:00.000+02:00,0.034,0.1451153,0.0049339202,1.721,0.1451153,0.2497434313
2025-06-01T12:00:00.000+02:00,0.033,0.1410376,0.0046542408,1.791,0.1410376,0.2525983416
2025-06-01T13:00:00.000+02:00,0.014,0.1320231,0.0018483234,1.187,0.1320231,0.1567114197
2025-06-01T14:00:00.000+02:00,0.157,0.1229723,0.0193066511,1.155,0.1229723,0.1420330065
2025-06-01T15:00:00.000+02:00,2.404,0.1287803,0.3095878412,1.023,0.1287803,0.1317422469
2025-06-01T16:00:00.000+02:00,0.003,0.1404084,0.0004212252,2.915,0.1404084,0.409290486
2025-06-01T17:00:00.000+02:00,0.059,0.1465673,0.0086474707,2.065,0.1465673,0.3026614745
2025-06-01T18:00:00.000+02:00,0.041,0.1682384,0.0068977744,1.577,0.1682384,0.2653119568
2025-06-01T19:00:00.000+02:00,0.276,0.2345585,0.064738146,0.707,0.2345585,0.1658328595
2025-06-01T20:00:00.000+02:00,0.193,0.256157,0.049438301,0.073,0.256157,0.018699461
2025-06-01T21:00:00.000+02:00,0.358,0.2866974,0.1026376692,0,0.2866974,0
2025-06-01T22:00:00.000+02:00,0.47,0.2710642,0.127400174,0,0.2710642,0
2025-06-01T23:00:00.000+02:00,0.367,0.2487518,0.0912919106,0,0.2487518,0
2025-06-02T00:00:00.000+02:00,0.476,0.2387814,0.1136599464,0,0.2387814,0
2025-06-02T01:00:00.000+02:00,0.432,0.2323684,0.1003831488,0,0.2323684,0
2025-06-02T02:00:00.000+02:00,0.345,0.2343649,0.0808558905,0,0.2343649,0
2025-06-02T03:00:00.000+02:00,0.368,0.2368575,0.08716356,0,0.2368575,0
2025-06-02T04:00:00.000+02:00,0.313,0.2403544,0.0752309272,0,0.2403544,0
2025-06-02T05:00:00.000+02:00,0.151,0.2475781,0.0373842931,0,0.2475781,0
2025-06-02T06:00:00.000+02:00,0.088,0.2748394,0.0241858672,0.025,0.2748394,0.006870985
